id,plan_name,global_plan,region,plan_type,data,validity,package_name,retail_price,wholesale_price,cost_price,singleUse,test_plan,isRegional,created_at,updated_at,deleted_at,vendor_id,recharge,countries
74,French Guiana 1GB,0,Caribbean,2,1,7,kawcom-7days-1gb,4.50,3.00,1.00,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:43,\N,1,0,
75,Guadeloupe 1GB,0,Caribbean,2,1,7,guanet-7days-1gb,4.50,3.00,2.10,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:45,\N,1,0,
76,Grenada 1GB,0,Caribbean,2,1,7,fortnet-7days-1gb,9.50,9.00,7.80,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:45,\N,1,0,
77,Uganda 1GB,0,Africa,2,1,7,esim_1GB_7D_UG_V2,9.50,6.50,5.17,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:59,\N,3,0,
78,Haiti 1GB,0,Caribbean,2,1,7,bon-bagay-7days-1gb,9.50,9.00,7.80,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:45,\N,1,0,
79,Zimbabwe 1GB,0,Africa,2,1,7,zimcom-7days-1gb,9.50,9.00,8.10,0,0,0,2023-06-24 13:26:02,2024-04-09 16:50:01,\N,1,0,
80,Trinidad & Tobago 1GB,0,Caribbean,2,1,7,tritocom-7days-1gb,9.50,9.00,7.80,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:59,\N,1,0,
81,Panama 1GB,0,LATAM,2,1,7,esim_1GB_7D_PA_V2,12.00,9.00,6.90,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:54,\N,3,0,
82,El Salvador,0,LATAM,2,1,7,esim_1GB_7D_SV_V2,7.50,6.00,3.34,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:41,\N,3,0,
83,Paraguay 1GB,0,LATAM,2,1,7,esim_1GB_7D_PY_V2,12.00,9.00,8.06,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:54,\N,3,0,
