id,plan_name,global_plan,region,plan_type,data,validity,package_name,retail_price,wholesale_price,cost_price,singleUse,test_plan,isRegional,created_at,updated_at,deleted_at,vendor_id,countries,recharge
786,Africa-24 1GB,0,Africa,2,1,365,14,30,27,24,0,0,1,2023-09-14 11:07:27,2024-04-09 16:49:34,2023-11-17 18:49:40,2,,0
566,Africa-24 1GB,0,Africa,2,1,7,14,30,25,20.84,0,0,1,2023-06-24 13:26:03,2024-04-09 16:49:34,2023-11-17 18:54:48,2,,0
789,Africa-24 25GB,0,Africa,2,25,365,14,375,371,300,0,0,1,2023-09-14 11:23:16,2024-04-09 16:49:34,2023-11-17 18:50:35,2,,0
781,Africa-24 3GB,0,Africa,2,3,30,21,42,38,0,0,0,1,2023-09-06 16:09:46,2024-04-09 16:49:34,2023-11-17 18:54:53,2,,0
787,Africa-24 5GB,0,Africa,2,5,365,14,90,85,0,0,0,1,2023-09-14 11:15:45,2024-04-09 16:49:34,2023-11-17 18:49:56,2,,0
584,Africa-24 5GB,0,Africa,2,5,30,14,90,80,69.23,0,0,1,2023-06-24 13:26:03,2024-04-09 16:49:34,2023-11-17 18:55:01,2,,0
799,Africa-29 1GB,0,Africa,2,1,7,CKH495,22,15,10.9,0,0,1,2023-12-08 20:42:30,2024-04-09 16:49:34,\N,4,,0
804,Africa-29 3GB,0,Africa,2,3,30,P1XXDOD0C,40,36,29,0,0,1,2023-12-08 23:17:01,2024-04-09 16:49:34,\N,4,,0
805,Africa-29 5GB,0,Africa,2,5,30,CKH497,60,55,43,0,0,1,2023-12-08 23:20:56,2024-04-09 16:49:34,\N,4,,0
823,Africa-37 1GB,0,Africa,2,1,30,hello-africa-30days-1gb,27,20,12,0,0,1,2024-03-11 22:26:41,2024-04-09 16:49:34,\N,1,,0
824,Africa-37 3GB,0,Africa,2,3,30,hello-africa-30days-3gb,59,45,26,0,0,1,2024-03-11 22:30:43,2024-04-09 16:49:34,\N,1,,0
614,Albania 10GB,0,Eastern Europe,2,10,30,esim_10GB_30D_AL_V2,26,24,16.18,0,0,0,2023-09-04 16:06:55,2024-04-09 16:49:34,\N,3,,0
129,Albania 1GB,0,Europe,2,1,7,esim_1GB_7D_AL_V2,4.5,3.25,2.28,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:34,\N,3,,0
842,Albania 2GB,0,Eastern Europe,2,2,15,esim_2GB_15D_AL_V2,8,7,4.08,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
164,Albania 3GB,0,Eastern Europe,2,3,30,esim_3GB_30D_AL_V2,11,10.5,5.57,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:34,\N,3,,0
843,Albania 50GB,0,Eastern Europe,2,50,30,esim_50GB_30D_AL_V2,100,85,64.82,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
263,Albania 5GB,0,Eastern Europe,2,5,30,esim_5GB_30D_AL_V2,15.5,13.5,8.97,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:34,\N,3,,0
844,Albania UNL 10D,0,Eastern Europe,2,Unlimited,10,esim_UL_10D_AL_V2,40,34,26.21,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
845,Albania UNL 15D,0,Eastern Europe,2,Unlimited,15,esim_UL_15D_AL_V2,50,45,39.08,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
846,Albania UNL 1D,0,Eastern Europe,2,Unlimited,1,esim_UL_1D_AL_V2,7.5,4.5,3.05,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
847,Albania UNL 30D,0,Eastern Europe,2,Unlimited,30,esim_UL_30D_AL_V2,100,90,77.69,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
848,Albania UNL 3D,0,Eastern Europe,2,Unlimited,3,esim_UL_3D_AL_V2,20,15,8.2,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
849,Albania UNL 5D,0,Eastern Europe,2,Unlimited,5,esim_UL_5D_AL_V2,28,18,13.34,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
850,Albania UNL 7D,0,Eastern Europe,2,Unlimited,7,esim_UL_7D_AL_V2,36,25,18.49,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
,Algeria 10GB,0,Africa,2,10,30,esim_10GB_30D_DZ_V2,75,62,55.99,0,0,0,,,,3,DZ,1
,Algeria 1GB,0,Africa,2,1,7,esim_1GB_7D_DZ_V2,12,8.5,6.9,0,0,0,,,,3,DZ,1
,Algeria 2GB,0,Africa,2,2,15,esim_2GB_15D_DZ_V2,20,16,13.25,0,0,0,,,,3,DZ,1
,Algeria 3GB,0,Africa,2,3,30,esim_3GB_30D_DZ_V2,25,20,18.52,0,0,0,,,,3,DZ,1
