id,plan_name,global_plan,region,plan_type,data,validity,package_name,retail_price,wholesale_price,cost_price,singleUse,test_plan,isRegional,created_at,updated_at,deleted_at,vendor_id,recharge_only,platinum_price,countries
89,Nicaragua 1GB,0,LATAM,2,1,7,esim_1GB_7D_NI_V2,12.00,9.00,6.90,0,0,0,26:01.6,07:21.7,\N,3,0,8.00,NIC
90,Azerbaijan 1GB,0,Middle East,2,1,7,yaxsi-mobile-7days-1gb,7.00,5.40,3.80,0,0,0,26:01.6,07:21.7,\N,1,0,4.60,AZE
91,Bahrain 1GB,0,Middle East,2,1,7,saar-mobile-7days-1gb,6.00,5.50,4.30,0,0,0,26:01.6,07:21.7,\N,1,0,4.90,BHR
92,Dominica 1GB,0,Caribbean,2,1,7,esim_1GB_7D_DM_V2,12.00,10.00,7.46,0,0,0,26:01.6,07:21.7,\N,3,0,8.80,DMA
93,Brunei Darussalam 1GB,0,Middle East,2,1,7,esim_1GB_7D_BN_V2,12.00,9.50,8.06,0,0,0,26:01.6,07:21.7,\N,3,0,8.80,BRN
94,Israel 1GB,0,Middle East,2,1,7,esim_1GB_7D_IL_V2,5.00,3.50,2.28,0,0,0,26:01.6,07:21.7,\N,3,0,2.90,ISR
95,Montserrat 1GB,0,Caribbean,2,1,7,esim_1GB_7D_MS_V2,12.00,10.00,7.46,0,0,0,26:01.6,07:21.7,\N,1,0,8.80,MSR
96,Afghanistan 1GB,0,Middle East,2,1,7,sohbat-mobile-7days-1gb,8.00,6.50,4.50,0,0,0,26:01.6,07:21.7,\N,1,0,5.50,AFG
97,Qatar 1GB,0,Middle East,2,1,7,pearl-mobile-7days-1gb,5.00,3.40,1.80,0,0,0,26:01.6,07:21.7,\N,1,0,2.60,QAT
98,Armenia 1GB,0,Eastern Europe,2,1,7,esim_1GB_7D_AM_V2,9.50,7.00,5.17,0,0,0,26:01.6,07:21.7,\N,3,0,6.10,ARM
99,United Arab Emirates (UAE) 1GB,0,Middle East,2,1,7,esim_1GB_7D_AE_V2,6.00,3.50,2.05,0,0,0,26:01.6,07:21.7,\N,3,0,2.80,ARE
101,Austria 1GB,0,Europe,2,1,7,esim_1GB_7D_AT_V2,5.00,2.50,1.36,0,0,0,26:01.6,07:21.7,\N,3,0,2.00,AUT
102,Belarus 1GB,0,Europe,2,1,7,norach-telecom-7days-1gb,10.00,9.50,6.80,0,0,0,26:01.6,07:21.7,\N,1,0,8.20,BLR
