id,plan_name,global_plan,region,plan_type,data,validity,package_name,retail_price,wholesale_price,cost_price,singleUse,test_plan,isRegional,created_at,updated_at,deleted_at,vendor_id,countries
266,Algeria 5GB,0,Africa,2,5,30,algecom-30days-5gb,27,23,19,0,0,0,2023-06-24 13:26:02,2023-07-21 12:52:37,\N,1,DZ
0,Algeria UNL 10D,0,Africa,2,Unlimited,10,esim_UL_10D_DZ_V2,100,92,79.12,0,0,0,,,,3,DZ
0,Algeria UNL 15D,0,Africa,2,Unlimited,15,esim_UL_15D_DZ_V2,135,128,118.45,0,0,0,,,,3,DZ
0,Algeria UNL 1D,0,Africa,2,Unlimited,1,esim_UL_1D_DZ_V2,12,10,8.34,0,0,0,,,,3,DZ
0,Algeria UNL 3D,0,Africa,2,Unlimited,3,esim_UL_3D_DZ_V2,32,29,24.07,0,0,0,,,,3,DZ
0,Algeria UNL 5D,0,Africa,2,Unlimited,5,esim_UL_5D_DZ_V2,50,46,39.8,0,0,0,,,,3,DZ
0,Algeria UNL 7D,0,Africa,2,Unlimited,7,esim_UL_7D_DZ_V2,70,65,55.53,0,0,0,,,,3,DZ
0,Americas 10GB,0,LATAM,2,10,30,esim_10GB_30D_RLA_V2,40,35,22.04,0,0,1,,,,3,"AR,BR,CL,CO,CR,EC,SV,PE,UY,GF,MX"
0,Americas 1GB,0,LATAM,2,1,7,esim_1GB_7D_RLA_V2,5,4,2.95,0,0,1,,,,3,"AR,BR,CL,CO,CR,EC,SV,PE,UY,GF,MX"
0,Americas 20GB,0,LATAM,2,20,30,esim_20GB_30D_RLA_V2,60,52,39.37,0,0,1,,,,3,"AR,BR,CL,CO,CR,EC,SV,PE,UY,GF,MX"
0,Americas 2GB,0,LATAM,2,2,15,esim_2GB_15D_RLA_V2,10,7.25,5.42,0,0,1,,,,3,"AR,BR,CL,CO,CR,EC,SV,PE,UY,GF,MX"
0,Americas 3GB,0,LATAM,2,3,30,esim_3GB_30D_RLA_V2,15,12,7.48,0,0,1,,,,3,"AR,BR,CL,CO,CR,EC,SV,PE,UY,GF,MX"
0,Americas 50GB,0,LATAM,2,50,30,esim_50GB_30D_RLA_V2,120,100,88.87,0,0,1,,,,3,"AR,BR,CL,CO,CR,EC,SV,PE,UY,GF,MX"
0,Americas 5GB,0,LATAM,2,5,30,esim_5GB_30D_RLA_V2,20,17.5,12.14,0,0,1,,,,3,"AR,BR,CL,CO,CR,EC,SV,PE,UY,GF,MX"
0,Americas UNL 10D,0,LATAM,2,Unlimited,10,esim_UL_10D_RLA_V2,75,60,35.83,0,0,1,,,,3,"AR,BR,CL,CO,CR,EC,SV,PE,UY,GF,MX"
0,Americas UNL 15D,0,LATAM,2,Unlimited,15,esim_UL_15D_RLA_V2,95,75,53.51,0,0,1,,,,3,"AR,BR,CL,CO,CR,EC,SV,PE,UY,GF,MX"
0,Americas UNL 1D,0,LATAM,2,Unlimited,1,esim_UL_1D_RLA_V2,10,7,4.01,0,0,1,,,,3,"AR,BR,CL,CO,CR,EC,SV,PE,UY,GF,MX"
0,Americas UNL 30D,0,LATAM,2,Unlimited,30,esim_UL_30D_RLA_V2,140,120,106.55,0,0,1,,,,3,"AR,BR,CL,CO,CR,EC,SV,PE,UY,GF,MX"
0,Americas UNL 3D,0,LATAM,2,Unlimited,3,esim_UL_3D_RLA_V2,28,20,11.08,0,0,1,,,,3,"AR,BR,CL,CO,CR,EC,SV,PE,UY,GF,MX"
0,Americas UNL 5D,0,LATAM,2,Unlimited,5,esim_UL_5D_RLA_V2,35,26,18.15,0,0,1,,,,3,"AR,BR,CL,CO,CR,EC,SV,PE,UY,GF,MX"
0,Americas UNL 7D,0,LATAM,2,Unlimited,7,esim_UL_7D_RLA_V2,49,37.5,25.23,0,0,1,,,,3,"AR,BR,CL,CO,CR,EC,SV,PE,UY,GF,MX"
390,Andorra 10GB,0,Europe,2,10,30,handi-30days-10gb,25,19,13,0,0,0,2023-06-24 13:26:02,2023-07-21 12:52:44,\N,1,AD
47,Andorra 1GB,0,Europe,2,1,7,handi-7days-1gb,4.5,3,1.5,0,0,0,2023-06-24 13:26:01,2023-07-21 12:52:41,\N,1,AD
617,Andorra 20GB,0,Europe,2,20,30,handi-30days-20gb,40,32,25,0,0,0,2023-09-04 16:50:30,2023-09-05 12:28:45,\N,1,AD
0,Andorra 2GB,0,Europe,2,2,15,handi-15days-2gb,8,5,2.9,0,0,0,,,,1,AD
157,Andorra 3GB,0,Europe,2,3,30,handi-30days-3gb,10.5,8,4.2,0,0,0,2023-06-24 13:26:02,2023-07-21 12:52:42,\N,1,AD
273,Andorra 5GB,0,Europe,2,5,30,handi-30days-5gb,15,12,7,0,0,0,2023-06-24 13:26:02,2023-07-21 12:52:43,\N,1,AD
0,Andorra UNL 10D,0,Europe,2,Unlimited,10,esim_UL_10D_AD_V2,149,119,79.12,0,0,0,,,,3,AD
0,Andorra UNL 15D,0,Europe,2,Unlimited,15,esim_UL_15D_AD_V2,223,178,118.45,0,0,0,,,,3,AD
0,Andorra UNL 1D,0,Europe,2,Unlimited,1,esim_UL_1D_AD_V2,15,12,8.34,0,0,0,,,,3,AD
0,Andorra UNL 3D,0,Europe,2,Unlimited,3,esim_UL_3D_AD_V2,45,36,24.07,0,0,0,,,,3,AD
0,Andorra UNL 5D,0,Europe,2,Unlimited,5,esim_UL_5D_AD_V2,75,60,39.8,0,0,0,,,,3,AD
0,Andorra UNL 7D,0,Europe,2,Unlimited,7,esim_UL_7D_AD_V2,100,85,55.53,0,0,0,,,,3,AD
137,Anguilla 1GB,0,Caribbean,2,1,7,dolphin-mobile-7days-1gb,9.5,9,8.1,0,0,0,2023-06-24 13:26:02,2023-07-21 12:52:51,\N,1,AI
0,Anguilla 2GB,0,Caribbean,2,2,15,esim_2GB_15D_AI_V2,55,50,40.51,0,0,0,,,,3,AI
0,Anguilla UNL 1D,0,Caribbean,2,Unlimited,1,esim_UL_1D_AI_V2,55,44,29.07,0,0,0,,,,3,AI
0,Anguilla UNL 3D,0,Caribbean,2,Unlimited,3,esim_UL_3D_AI_V2,161,129,86.27,0,0,0,,,,3,AI
72,Antigua & Barbuda 1GB,0,Caribbean,2,1,7,17-miles-7days-1gb,9.5,9,8.1,0,0,0,2023-06-24 13:26:02,2023-07-21 12:52:51,\N,1,AG
0,Antigua And Barbuda 2GB,0,Caribbean,2,2,15,esim_2GB_15D_AG_V2,55,50,40.51,0,0,0,,,,3,AG
0,Antigua And Barbuda UNL 1D,0,Caribbean,2,Unlimited,1,esim_UL_1D_AG_V2,50,40,29.07,0,0,0,,,,3,AG
0,Antigua And Barbuda UNL 3D,0,Caribbean,2,Unlimited,3,esim_UL_3D_AG_V2,150,120,86.27,0,0,0,,,,3,AG
113,Argentina,0,LATAM,2,1,7,esim_1GB_7D_AR_V2,7.5,6,2.9,0,0,0,2023-06-24 13:26:02,2023-11-30 21:37:32,\N,3,AR
389,Argentina 10GB,0,LATAM,2,10,30,esim_10GB_30D_AR_V2,55,50,21.58,0,0,0,2023-06-24 13:26:02,2023-11-30 21:37:33,\N,3,AR
623,Argentina 20GB,0,LATAM,2,20,30,esim_20GB_30D_AR_V2,65,50,38.54,0,0,0,2023-09-04 17:34:58,2023-11-30 21:37:33,\N,3,AR
0,Argentina 2GB,0,LATAM,2,2,15,esim_2GB_15D_AR_V2,15,10,5.32,0,0,0,,,,3,AR
147,Argentina 3GB,0,LATAM,2,3,30,esim_3GB_30D_AR_V2,21.5,18,7.33,0,0,0,2023-06-24 13:26:02,2023-11-30 21:37:32,\N,3,AR
0,Argentina 50GB,0,LATAM,2,50,30,esim_50GB_30D_AR_V2,120,100,86.99,0,0,0,,,,3,AR
283,Argentina 5GB,0,LATAM,2,5,30,esim_5GB_30D_AR_V2,35,30,11.89,0,0,0,2023-06-24 13:26:02,2023-11-30 21:37:32,\N,3,AR
0,Argentina UNL 10D,0,LATAM,2,Unlimited,10,esim_UL_10D_AR_V2,75,50,35.08,0,0,0,,,,3,AR
0,Argentina UNL 15D,0,LATAM,2,Unlimited,15,esim_UL_15D_AR_V2,99,79,52.38,0,0,0,,,,3,AR
0,Argentina UNL 1D,0,LATAM,2,Unlimited,1,esim_UL_1D_AR_V2,9,6,3.94,0,0,0,,,,3,AR
0,Argentina UNL 30D,0,LATAM,2,Unlimited,30,esim_UL_30D_AR_V2,195,156,104.29,0,0,0,,,,3,AR
0,Argentina UNL 3D,0,LATAM,2,Unlimited,3,esim_UL_3D_AR_V2,20,16,10.86,0,0,0,,,,3,AR
0,Argentina UNL 5D,0,LATAM,2,Unlimited,5,esim_UL_5D_AR_V2,35,27,17.78,0,0,0,,,,3,AR
0,Argentina UNL 7D,0,LATAM,2,Unlimited,7,esim_UL_7D_AR_V2,45,37,24.7,0,0,0,,,,3,AR
393,Armenia 10GB,0,Eastern Europe,2,10,30,esim_10GB_30D_AM_V2,55,50,35.37,0,0,0,2023-06-24 13:26:02,2023-11-30 21:37:33,\N,3,AM
98,Armenia 1GB,0,Eastern Europe,2,1,7,esim_1GB_7D_AM_V2,9.5,7.5,4.48,0,0,0,2023-06-24 13:26:02,2023-07-21 12:52:48,\N,3,AM
492,Armenia 20GB,0,Eastern Europe,2,20,30,esim_20GB_30D_AM_V2,99,85,63.39,0,0,0,2023-06-24 13:26:03,2023-11-30 21:37:33,\N,3,AM
0,Armenia 2GB,0,Eastern Europe,2,2,15,esim_2GB_15D_AM_V2,12.5,10,8.48,0,0,0,,,,3,AM
148,Armenia 3GB,0,Eastern Europe,2,3,30,esim_3GB_30D_AM_V2,25,17.5,11.8,0,0,0,2023-06-24 13:26:02,2023-07-21 12:52:49,\N,3,AM
267,Armenia 5GB,0,Eastern Europe,2,5,30,esim_5GB_30D_AM_V2,35,28,19.35,0,0,0,2023-06-24 13:26:02,2023-07-21 12:52:49,\N,3,AM
0,Armenia UNL 10D,0,Eastern Europe,2,Unlimited,10,esim_UL_10D_AM_V2,109,87,57.67,0,0,0,,,,3,AM
0,Armenia UNL 15D,0,Eastern Europe,2,Unlimited,15,esim_UL_15D_AM_V2,161,129,86.27,0,0,0,,,,3,AM
0,Armenia UNL 1D,0,Eastern Europe,2,Unlimited,1,esim_UL_1D_AM_V2,11,9,6.19,0,0,0,,,,3,AM
0,Armenia UNL 3D,0,Eastern Europe,2,Unlimited,3,esim_UL_3D_AM_V2,30,26,17.63,0,0,0,,,,3,AM
0,Armenia UNL 5D,0,Eastern Europe,2,Unlimited,5,esim_UL_5D_AM_V2,50,44,29.07,0,0,0,,,,3,AM
0,Armenia UNL 7D,0,Eastern Europe,2,Unlimited,7,esim_UL_7D_AM_V2,75,61,40.51,0,0,0,,,,3,AM
65,Aruba 1GB,0,Caribbean,2,1,7,noord-communications-7days-1gb,9.5,9,8.1,0,0,0,2023-06-24 13:26:01,2023-07-21 12:52:51,\N,1,AW
530,Asia 10GB,0,Asia,2,10,30,esim_10GB_30D_RAS_V2,35,21,18.71,0,0,1,2023-06-24 13:26:03,2023-07-21 12:52:52,\N,3,"AU,HK,ID,KP,MO,MY,PK,SG,LK,TW,TH,UZ,VN"
780,Asia 10GB,0,Asia,2,10,30,asialink-30days-10gb,37,25.75,14.5,0,0,1,2023-09-06 15:31:56,2024-02-08 23:39:59,\N,1,"BD,KH,CN,HK,IN,ID,JP,KR,LA,MO,MY,PK,PH,SG,LK,TW,TH,VN"
149,Asia 1GB,0,Asia,2,1,7,esim_1GB_7D_RAS_V2,5,4,2.57,0,0,1,2023-06-24 13:26:02,2023-07-21 12:52:52,\N,3,"AU,HK,ID,KP,MO,MY,PK,SG,LK,TW,TH,UZ,VN"
777,Asia 1GB,0,Asia,2,1,7,asialink-7days-1gb,5,3.35,1.7,0,0,1,2023-09-06 15:24:29,2024-02-08 23:34:31,\N,1,"BD,KH,CN,HK,IN,ID,JP,KR,LA,MO,MY,PK,PH,SG,LK,TW,TH,VN"
816,Asia 20 10GB,0,Oceania,2,10,30,JC180,40,35,29,0,0,1,2024-01-18 21:45:52,2024-01-18 21:45:52,\N,4,"AU,KH,CN,HK,IN,ID,IL,JP,KR,KW,MO,MY,NZ,PK,PH,SA,SG,LK,TH,VN"
